﻿时间,点位,AD值,N值
"2025-08-11 15:05:40.026",右脚22-5,1160,2.7
"2025-08-11 15:05:54.038",右脚22-5,1251,3.0
"2025-08-11 15:06:25.726",右脚22-5,1336,3.3
"2025-08-11 15:07:12.841",右脚24-5,251,0.9
"2025-08-11 15:07:34.645",右脚24-5,337,1.2
"2025-08-11 15:07:48.874",右脚24-5,419,1.5
"2025-08-11 15:08:22.602",右脚24-5,580,1.8
"2025-08-11 15:08:38.457",右脚24-5,718,2.1
"2025-08-11 15:09:07.985",右脚24-5,802,2.4
"2025-08-11 15:09:29.425",右脚24-5,968,2.7
"2025-08-11 15:10:00.777",右脚24-5,1136,3.0
"2025-08-11 15:10:49.695",右脚24-5,1283,3.3
"2025-08-11 15:11:43.873",右脚24-5,1327,3.5
"2025-08-11 15:12:29.161",右脚26-5,297,1.2
"2025-08-11 15:12:40.583",右脚26-5,442,1.5
"2025-08-11 15:15:08.060",右脚26-5,602,1.8
"2025-08-11 15:15:42.900",右脚26-5,711,2.1
"2025-08-11 15:16:40.320",右脚26-5,838,2.4
"2025-08-11 15:16:57.246",右脚26-5,981,2.7
"2025-08-11 15:17:17.838",右脚26-5,1178,3.0
"2025-08-11 15:17:26.689",右脚26-5,1324,3.3
"2025-08-11 15:17:59.920",右脚28-5,224,0.9
"2025-08-11 15:20:34.601",右脚28-5,418,1.2
"2025-08-11 15:20:51.845",右脚28-5,472,1.5
"2025-08-11 15:24:46.170",右脚28-5,522,1.8
"2025-08-11 15:25:01.543",右脚28-5,618,2.1
"2025-08-11 15:25:09.854",右脚28-5,688,2.4
"2025-08-11 15:25:28.677",右脚28-5,796,2.7
"2025-08-11 15:25:48.414",右脚28-5,919,3.0
"2025-08-11 15:26:22.017",右脚28-5,1092,3.3
"2025-08-11 15:26:52.981",右脚28-5,1232,3.6
"2025-08-11 15:27:14.678",右脚28-5,1329,3.9
"2025-08-11 15:37:55.736",右脚29-3,353,1.2
"2025-08-11 15:38:18.839",右脚29-3,491,1.5
"2025-08-11 15:38:52.584",右脚29-3,836,1.8
"2025-08-11 15:39:24.271",右脚29-3,917,2.1
"2025-08-11 15:39:36.198",右脚29-3,1038,2.4
"2025-08-11 15:40:11.007",右脚29-3,1137,2.7
"2025-08-11 15:40:28.106",右脚29-3,1266,3.0
"2025-08-11 15:40:41.749",右脚29-3,1313,3.3
"2025-08-11 15:44:17.434",右脚30-5,296,1.2
